bead_batch,nearest_dose,pert_dose,pert_dose_unit,pert_idose,pert_itime,pert_time,pert_time_unit,cell_mfc_name,pert_mfc_id,nsample,cc_q75,ss_ngene,tas,pct_self_rank_q25,wt,median_recall_rank_spearman,median_recall_rank_wtcs_50,median_recall_score_spearman,median_recall_score_wtcs_50,batch_effect_tstat,batch_effect_tstat_pct,is_hiq,qc_pass,pert_id,sig_id,pert_type,cell_iname,det_wells,det_plates,distil_ids,build_name,project_code,cmap_name,is_exemplar_sig,is_ncs_sig,is_null_sig,quality_replicates,duplIdentifier,dupl_counts,conditionId
b20,10,10,uM,10 uM,24 h,24,h,HA1E,BRD-K30842649,3,0.69,391,0.525223,0.0224417,"0.33,0.33,0.34",0,0.136612,0.693707,0.830062,12.9,56.6179,1,1,BRD-K30842649,PCL001_HA1E_24H:BRD-K30842649:10,trt_cp,HA1E,E07,PCL001_HA1E_24H_X1_B20|PCL001_HA1E_24H_X2_B20|PCL001_HA1E_24H_X3_B20,PCL001_HA1E_24H_X1_B20:E07|PCL001_HA1E_24H_X2_B20:E07|PCL001_HA1E_24H_X3_B20:E07,,PCL,BRD-K30842649,1,1,0,1,BRD-K30842649_10 uM_24 h_HA1E,1,BRD-K30842649_10 uM_24 h
b20,1.11,1.11,uM,1.11 uM,24 h,24,h,HA1E,BRD-A18497530,3,0.54,338,0.432002,0,"0.39,0.31,0.30",0,0,0.519317,0.720089,12.9,56.6179,1,1,BRD-A18497530,PCL001_HA1E_24H:BRD-A18497530:1.11,trt_cp,HA1E,G15,PCL001_HA1E_24H_X1_B20|PCL001_HA1E_24H_X2_B20|PCL001_HA1E_24H_X3_B20,PCL001_HA1E_24H_X1_B20:G15|PCL001_HA1E_24H_X2_B20:G15|PCL001_HA1E_24H_X3_B20:G15,,PCL,5-iodotubercidin,1,1,0,1,5-iodotubercidin_1.11 uM_24 h_HA1E,1,5-iodotubercidin_1.11 uM_24 h
b4,10,10,uM,10 uM,6 h,6,h,HA1E,BRD-A16820783,3,0.46,214,0.317261,0,"""""""""""""""""""""""""""""""""",0,0,0.447713,0.687384,19.3,78.0362,1,1,BRD-A16820783,CPC009_HA1E_6H:BRD-A16820783-001-06-0:10,trt_cp,HA1E,L16,CPC009_HA1E_6H_X1_B4_DUO52HI53LO|CPC009_HA1E_6H_X2_F1B3_DUO52HI53LO|CPC009_HA1E_6H_X3_B4_DUO52HI53LO,CPC009_HA1E_6H_X1_B4_DUO52HI53LO:L16|CPC009_HA1E_6H_X2_F1B3_DUO52HI53LO:L16|CPC009_HA1E_6H_X3_B4_DUO52HI53LO:L16,,CPC,BRD-A16820783,1,1,0,1,BRD-A16820783_10 uM_6 h_HA1E,1,BRD-A16820783_10 uM_6 h
b4,10,10,uM,10 uM,6 h,6,h,HA1E,BRD-K78385490,3,0.35,310,0.333078,0,"""""""""""""""""""""""""""""""""",5.63028,3.60133,0.129311,0.485422,22.72,84.1229,1,1,BRD-K78385490,CPC010_HA1E_6H:BRD-K78385490-019-02-2:10,trt_cp,HA1E,I12,CPC010_HA1E_6H_X1_B4_DUO52HI53LO|CPC010_HA1E_6H_X2_B4_DUO52HI53LO|CPC010_HA1E_6H_X3_F1B3_DUO52HI53LO,CPC010_HA1E_6H_X1_B4_DUO52HI53LO:I12|CPC010_HA1E_6H_X2_B4_DUO52HI53LO:I12|CPC010_HA1E_6H_X3_F1B3_DUO52HI53LO:I12,,CPC,BRD-K78385490,1,1,0,1,BRD-K78385490_10 uM_6 h_HA1E,1,BRD-K78385490_10 uM_6 h
b4,10,10,uM,10 uM,6 h,6,h,HA1E,BRD-A75301702,3,0.42,265,0.337348,0,"""""""""""""""""""""""""""""""""",0.935829,0.13369,0.286959,0.686906,19.3,78.0362,1,1,BRD-A75301702,CPC009_HA1E_6H:BRD-A75301702-001-01-8:10,trt_cp,HA1E,A20,CPC009_HA1E_6H_X1_B4_DUO52HI53LO|CPC009_HA1E_6H_X2_F1B3_DUO52HI53LO|CPC009_HA1E_6H_X3_B4_DUO52HI53LO,CPC009_HA1E_6H_X1_B4_DUO52HI53LO:A20|CPC009_HA1E_6H_X2_F1B3_DUO52HI53LO:A20|CPC009_HA1E_6H_X3_B4_DUO52HI53LO:A20,,CPC,BRD-A75301702,1,1,0,1,BRD-A75301702_10 uM_6 h_HA1E,1,BRD-A75301702_10 uM_6 h
f1b3,10,10,uM,10 uM,6 h,6,h,HA1E,BRD-A04172077,3,0.59,469,0.531916,0.0904977,"""""""""""""""""""""""""""""""""",0.134048,0.134048,0.488611,0.717483,14.03,61.7858,1,1,BRD-A04172077,CPC012_HA1E_6H:BRD-A04172077-001-01-6:10,trt_cp,HA1E,L05,CPC012_HA1E_6H_X1_F1B3_DUO52HI53LO|CPC012_HA1E_6H_X2_F1B3_DUO52HI53LO|CPC012_HA1E_6H_X3_F1B3_DUO52HI53LO,CPC012_HA1E_6H_X1_F1B3_DUO52HI53LO:L05|CPC012_HA1E_6H_X2_F1B3_DUO52HI53LO:L05|CPC012_HA1E_6H_X3_F1B3_DUO52HI53LO:L05,,CPC,BRD-A04172077,1,1,0,1,BRD-A04172077_10 uM_6 h_HA1E,1,BRD-A04172077_10 uM_6 h
b4,10,10,uM,10 uM,6 h,6,h,HA1E,BRD-K28916077,3,0.33,325,0.331153,0,"""""""""""""""""""""""""""""""""",1.58311,0.402929,0.208147,0.518508,22.72,84.1229,1,1,BRD-K28916077,CPC010_HA1E_6H:BRD-K28916077-001-04-0:10,trt_cp,HA1E,E15,CPC010_HA1E_6H_X1_B4_DUO52HI53LO|CPC010_HA1E_6H_X2_B4_DUO52HI53LO|CPC010_HA1E_6H_X3_F1B3_DUO52HI53LO,CPC010_HA1E_6H_X1_B4_DUO52HI53LO:E15|CPC010_HA1E_6H_X2_B4_DUO52HI53LO:E15|CPC010_HA1E_6H_X3_F1B3_DUO52HI53LO:E15,,CPC,BRD-K28916077,1,1,0,1,BRD-K28916077_10 uM_6 h_HA1E,1,BRD-K28916077_10 uM_6 h
b3,10,10,uM,10 uM,6 h,6,h,HA1E,BRD-K70693222,3,0.43,391,0.414623,1.65289,"""""""""""""""""""""""""""""""""",29.3329,16.5517,0.0413835,0.369016,25.26,88.0276,0,1,BRD-K70693222,CPC007_HA1E_6H:BRD-K70693222-001-08-7:10,trt_cp,HA1E,G07,CPC007_HA1E_6H_X1_B3_DUO52HI53LO|CPC007_HA1E_6H_X2_B3_DUO52HI53LO|CPC007_HA1E_6H_X3_B3_DUO52HI53LO,CPC007_HA1E_6H_X1_B3_DUO52HI53LO:G07|CPC007_HA1E_6H_X2_B3_DUO52HI53LO:G07|CPC007_HA1E_6H_X3_B3_DUO52HI53LO:G07,,CPC,BRD-K70693222,1,1,0,1,BRD-K70693222_10 uM_6 h_HA1E,1,BRD-K70693222_10 uM_6 h
f1b3,10,10,uM,10 uM,6 h,6,h,HA1E,BRD-A57300602,3,0.53,229,0.352279,0,"""""""""""""""""""""""""""""""""",0.272876,0.13369,0.421815,0.745679,10.25,43.4396,1,1,BRD-A57300602,CPC013_HA1E_6H:BRD-A57300602-001-01-3:10,trt_cp,HA1E,C04,CPC013_HA1E_6H_X1_F1B3_DUO52HI53LO|CPC013_HA1E_6H_X2_F1B3_DUO52HI53LO|CPC013_HA1E_6H_X3_F1B3_DUO52HI53LO,CPC013_HA1E_6H_X1_F1B3_DUO52HI53LO:C04|CPC013_HA1E_6H_X2_F1B3_DUO52HI53LO:C04|CPC013_HA1E_6H_X3_F1B3_DUO52HI53LO:C04,,CPC,BRD-A57300602,1,1,0,1,BRD-A57300602_10 uM_6 h_HA1E,1,BRD-A57300602_10 uM_6 h
f1b3,10,10,uM,10 uM,6 h,6,h,HA1E,BRD-K60297835,3,0.47,235,0.336057,0,"""""""""""""""""""""""""""""""""",1.0706,0.673854,0.393973,0.585805,18.85,76.859,1,1,BRD-K60297835,CPC019_HA1E_6H:BRD-K60297835-001-01-3:10,trt_cp,HA1E,C03,CPC019_HA1E_6H_X1_F1B3_DUO52HI53LO|CPC019_HA1E_6H_X2_F1B3_DUO52HI53LO|CPC019_HA1E_6H_X3_B4_DUO52HI53LO,CPC019_HA1E_6H_X1_F1B3_DUO52HI53LO:C03|CPC019_HA1E_6H_X2_F1B3_DUO52HI53LO:C03|CPC019_HA1E_6H_X3_B4_DUO52HI53LO:C03,,CPC,BRD-K60297835,1,1,0,1,BRD-K60297835_10 uM_6 h_HA1E,1,BRD-K60297835_10 uM_6 h
b3,10,10,uM,10 uM,6 h,6,h,HA1E,BRD-K74305673,3,0.63,387,0.499294,0,"""""""""""""""""""""""""""""""""",0,0,0.54422,0.783121,14.66,63.853,1,1,BRD-K74305673,CPC001_HA1E_6H:BRD-K74305673-001-01-3:10,trt_cp,HA1E,M12,CPC001_HA1E_6H_X1_B3_DUO52HI53LO|CPC001_HA1E_6H_X2_B3_DUO52HI53LO|CPC001_HA1E_6H_X3_B3_DUO52HI53LO,CPC001_HA1E_6H_X1_B3_DUO52HI53LO:M12|CPC001_HA1E_6H_X2_B3_DUO52HI53LO:M12|CPC001_HA1E_6H_X3_B3_DUO52HI53LO:M12,,CPC,BRD-K74305673,1,1,0,1,BRD-K74305673_10 uM_6 h_HA1E,1,BRD-K74305673_10 uM_6 h
b4,10,10,uM,10 uM,6 h,6,h,HA1E,BRD-K59705555,3,0.43,333,0.382637,1.26927,"""""""""""""""""""""""""""""""""",19.1438,23.0266,0.182767,0.345582,19.3,78.0362,0,1,BRD-K59705555,CPC009_HA1E_6H:BRD-K59705555-001-01-6:10,trt_cp,HA1E,L04,CPC009_HA1E_6H_X1_B4_DUO52HI53LO|CPC009_HA1E_6H_X2_F1B3_DUO52HI53LO|CPC009_HA1E_6H_X3_B4_DUO52HI53LO,CPC009_HA1E_6H_X1_B4_DUO52HI53LO:L04|CPC009_HA1E_6H_X2_F1B3_DUO52HI53LO:L04|CPC009_HA1E_6H_X3_B4_DUO52HI53LO:L04,,CPC,BRD-K59705555,1,1,0,1,BRD-K59705555_10 uM_6 h_HA1E,1,BRD-K59705555_10 uM_6 h
b3,10,10,uM,10 uM,24 h,24,h,HA1E,BRD-K20742498,3,0.55,337,0.435338,0,"""""""""""""""""""""""""""""""""",0.412088,0.274349,0.445659,0.703687,13.99,61.671,1,1,BRD-K20742498,CPC004_HA1E_24H:BRD-K20742498-003-01-1:10,trt_cp,HA1E,K01,CPC004_HA1E_24H_X1_B3_DUO52HI53LO|CPC004_HA1E_24H_X2_B3_DUO52HI53LO|CPC004_HA1E_24H_X3_B3_DUO52HI53LO,CPC004_HA1E_24H_X1_B3_DUO52HI53LO:K01|CPC004_HA1E_24H_X2_B3_DUO52HI53LO:K01|CPC004_HA1E_24H_X3_B3_DUO52HI53LO:K01,,CPC,RS-39604,1,1,0,1,RS-39604_10 uM_24 h_HA1E,1,RS-39604_10 uM_24 h
f1b3,10,10,uM,10 uM,6 h,6,h,HA1E,BRD-K18587499,3,0.43,276,0.348353,1.56394,"""""""""""""""""""""""""""""""""",11.9146,17.8095,0.301552,0.408218,10.25,43.4396,0,1,BRD-K18587499,CPC013_HA1E_6H:BRD-K18587499-003-01-3:10,trt_cp,HA1E,F03,CPC013_HA1E_6H_X1_F1B3_DUO52HI53LO|CPC013_HA1E_6H_X2_F1B3_DUO52HI53LO|CPC013_HA1E_6H_X3_F1B3_DUO52HI53LO,CPC013_HA1E_6H_X1_F1B3_DUO52HI53LO:F03|CPC013_HA1E_6H_X2_F1B3_DUO52HI53LO:F03|CPC013_HA1E_6H_X3_F1B3_DUO52HI53LO:F03,,CPC,ST-4049616,1,1,0,1,ST-4049616_10 uM_6 h_HA1E,1,ST-4049616_10 uM_6 h
f1b3,10,10,uM,10 uM,6 h,6,h,HA1E,BRD-U29336476,3,0.6,298,0.427577,0,"""""""""""""""""""""""""""""""""",0,0.137363,0.551698,0.796116,18.2,74.7918,1,1,BRD-U29336476,CPC014_HA1E_6H:BRD-U29336476-000-01-3:10,trt_cp,HA1E,K01,CPC014_HA1E_6H_X1_F1B3_DUO52HI53LO|CPC014_HA1E_6H_X2_F1B3_DUO52HI53LO|CPC014_HA1E_6H_X3_F1B3_DUO52HI53LO,CPC014_HA1E_6H_X1_F1B3_DUO52HI53LO:K01|CPC014_HA1E_6H_X2_F1B3_DUO52HI53LO:K01|CPC014_HA1E_6H_X3_F1B3_DUO52HI53LO:K01,,CPC,BRD-U29336476,1,1,0,1,BRD-U29336476_10 uM_6 h_HA1E,1,BRD-U29336476_10 uM_6 h
b3,10,10,uM,10 uM,6 h,6,h,HA1E,BRD-K96402602,3,0.28,344,0.313826,4.33604,"""""""""""""""""""""""""""""""""",62.3572,26.1333,-0.0354699,0.33792,14.66,63.853,0,1,BRD-K96402602,CPC001_HA1E_6H:BRD-K96402602-001-01-8:10,trt_cp,HA1E,I23,CPC001_HA1E_6H_X1_B3_DUO52HI53LO|CPC001_HA1E_6H_X2_B3_DUO52HI53LO|CPC001_HA1E_6H_X3_B3_DUO52HI53LO,CPC001_HA1E_6H_X1_B3_DUO52HI53LO:I23|CPC001_HA1E_6H_X2_B3_DUO52HI53LO:I23|CPC001_HA1E_6H_X3_B3_DUO52HI53LO:I23,,CPC,farnesylthiotriazole,1,1,0,1,farnesylthiotriazole_10 uM_6 h_HA1E,1,farnesylthiotriazole_10 uM_6 h
f1b3,10,10,uM,10 uM,6 h,6,h,HA1E,BRD-K62659735,3,0.27,363,0.316567,3.33025,"""""""""""""""""""""""""""""""""",26.1517,31.6859,0.106023,0.331633,18.85,76.859,0,1,BRD-K62659735,CPC019_HA1E_6H:BRD-K62659735-001-01-3:10,trt_cp,HA1E,H04,CPC019_HA1E_6H_X1_F1B3_DUO52HI53LO|CPC019_HA1E_6H_X2_F1B3_DUO52HI53LO|CPC019_HA1E_6H_X3_B4_DUO52HI53LO,CPC019_HA1E_6H_X1_F1B3_DUO52HI53LO:H04|CPC019_HA1E_6H_X2_F1B3_DUO52HI53LO:H04|CPC019_HA1E_6H_X3_B4_DUO52HI53LO:H04,,CPC,BRD-K62659735,1,1,0,1,BRD-K62659735_10 uM_6 h_HA1E,1,BRD-K62659735_10 uM_6 h
f1b3,10,10,uM,10 uM,6 h,6,h,HA1E,BRD-K34363599,3,0.59,323,0.441426,0,"""""""""""""""""""""""""""""""""",0,0,0.589164,0.792333,18.85,76.859,1,1,BRD-K34363599,CPC019_HA1E_6H:BRD-K34363599-001-02-0:10,trt_cp,HA1E,F13,CPC019_HA1E_6H_X1_F1B3_DUO52HI53LO|CPC019_HA1E_6H_X2_F1B3_DUO52HI53LO|CPC019_HA1E_6H_X3_B4_DUO52HI53LO,CPC019_HA1E_6H_X1_F1B3_DUO52HI53LO:F13|CPC019_HA1E_6H_X2_F1B3_DUO52HI53LO:F13|CPC019_HA1E_6H_X3_B4_DUO52HI53LO:F13,,CPC,RJC-00245SC,1,1,0,1,RJC-00245SC_10 uM_6 h_HA1E,1,RJC-00245SC_10 uM_6 h
b3,10,10,uM,10 uM,24 h,24,h,HA1E,BRD-A75769826,3,0.49,397,0.445989,0.272727,"""""""""""""""""""""""""""""""""",1.61182,1.61182,0.454389,0.588313,12.26,53.1726,1,1,BRD-A75769826,CPC005_HA1E_24H:BRD-A75769826-003-01-3:10,trt_cp,HA1E,N02,CPC005_HA1E_24H_X1_B3_DUO52HI53LO|CPC005_HA1E_24H_X2_B3_DUO52HI53LO|CPC005_HA1E_24H_X3_B3_DUO52HI53LO,CPC005_HA1E_24H_X1_B3_DUO52HI53LO:N02|CPC005_HA1E_24H_X2_B3_DUO52HI53LO:N02|CPC005_HA1E_24H_X3_B3_DUO52HI53LO:N02,,CPC,SDM-25N,1,1,0,1,SDM-25N_10 uM_24 h_HA1E,1,SDM-25N_10 uM_24 h
b3,10,10,uM,10 uM,24 h,24,h,HA1E,BRD-K77677632,3,0.3,324,0.315256,1.0064,"""""""""""""""""""""""""""""""""",9.8678,24.4595,0.232469,0.350502,13.41,59.1444,0,1,BRD-K77677632,CPC003_HA1E_24H:BRD-K77677632-003-01-8:10,trt_cp,HA1E,P09,CPC003_HA1E_24H_X1_B3_DUO52HI53LO|CPC003_HA1E_24H_X2_B3_DUO52HI53LO|CPC003_HA1E_24H_X3_B3_DUO52HI53LO,CPC003_HA1E_24H_X1_B3_DUO52HI53LO:P09|CPC003_HA1E_24H_X2_B3_DUO52HI53LO:P09|CPC003_HA1E_24H_X3_B3_DUO52HI53LO:P09,,CPC,SB-200646,1,1,0,1,SB-200646_10 uM_24 h_HA1E,1,SB-200646_10 uM_24 h
b3,10,10,uM,10 uM,24 h,24,h,HA1E,BRD-K97309399,3,0.54,370,0.451989,0,"""""""""""""""""""""""""""""""""",0.135135,0,0.539943,0.831843,13.41,59.1444,1,1,BRD-K97309399,CPC003_HA1E_24H:BRD-K97309399-001-05-2:10,trt_cp,HA1E,E16,CPC003_HA1E_24H_X1_B3_DUO52HI53LO|CPC003_HA1E_24H_X2_B3_DUO52HI53LO|CPC003_HA1E_24H_X3_B3_DUO52HI53LO,CPC003_HA1E_24H_X1_B3_DUO52HI53LO:E16|CPC003_HA1E_24H_X2_B3_DUO52HI53LO:E16|CPC003_HA1E_24H_X3_B3_DUO52HI53LO:E16,,CPC,thiothixene,1,1,0,1,thiothixene_10 uM_24 h_HA1E,1,thiothixene_10 uM_24 h
b3,10,10,uM,10 uM,24 h,24,h,HA1E,BRD-K84996949,3,0.42,232,0.315645,1.30475,"""""""""""""""""""""""""""""""""",11.186,38.5114,0.202603,0.24295,11.51,49.4401,0,1,BRD-K84996949,CPC002_HA1E_24H:BRD-K84996949-001-01-5:10,trt_cp,HA1E,O23,CPC002_HA1E_24H_X1_B3_DUO52HI53LO|CPC002_HA1E_24H_X2_B3_DUO52HI53LO|CPC002_HA1E_24H_X3_B3_DUO52HI53LO,CPC002_HA1E_24H_X1_B3_DUO52HI53LO:O23|CPC002_HA1E_24H_X2_B3_DUO52HI53LO:O23|CPC002_HA1E_24H_X3_B3_DUO52HI53LO:O23,,CPC,sinensetin,1,1,0,1,sinensetin_10 uM_24 h_HA1E,1,sinensetin_10 uM_24 h
f1b3,10,10,uM,10 uM,6 h,6,h,HA1E,BRD-K54405293,3,0.43,214,0.306741,2.11592,"""""""""""""""""""""""""""""""""",22.1156,5.11924,0.129505,0.419708,10.25,43.4396,0,1,BRD-K54405293,CPC013_HA1E_6H:BRD-K54405293-001-01-5:10,trt_cp,HA1E,O07,CPC013_HA1E_6H_X1_F1B3_DUO52HI53LO|CPC013_HA1E_6H_X2_F1B3_DUO52HI53LO|CPC013_HA1E_6H_X3_F1B3_DUO52HI53LO,CPC013_HA1E_6H_X1_F1B3_DUO52HI53LO:O07|CPC013_HA1E_6H_X2_F1B3_DUO52HI53LO:O07|CPC013_HA1E_6H_X3_F1B3_DUO52HI53LO:O07,,CPC,BRD-K54405293,1,1,0,1,BRD-K54405293_10 uM_6 h_HA1E,1,BRD-K54405293_10 uM_6 h
